city_id,city_name,state,lat,lon
1710,BIG SPRING,TX,32.24,-101.47
1711,CEDAR CITY,UT,37.66,-113.19
1712,LOGAN,UT,41.85,-111.7
1713,POINT PLEASANT,WV,38.85,-82.13
1714,WEIRTON,WV,40.4,-80.56
1715,BURLINGTON,WI,42.67,-88.27
1716,FLOWER MOUND,TX,33.02,-97.09
1717,FORT PAYNE,AL,34.45,-85.69
1718,EUFAULA,AL,31.9,-85.15
1719,DEMOPOLIS,AL,32.5,-87.83
1720,PAYSON,AZ,34.19,-111.17
1721,SIERRA VISTA,AZ,31.59,-110.17
1722,BARSTOW,CA,34.97,-116.99
1723,SUN VALLEY,CA,34.23,-118.34
1724,FALLBROOK,CA,33.39,-117.29
1725,SAN DIMAS,CA,34.1,-117.81
1726,SUN CITY,CA,33.74,-117.18
1727,NORWALK,CA,33.9,-118.07
1728,ALAMOSA,CO,37.46,-105.87
1729,LA JUNTA,CO,37.98,-103.54
1730,FITZGERALD,GA,31.7,-83.25
1731,JERSEYVILLE,IL,39.11,-90.32
1732,WASHINGTON,IN,38.65,-87.17
1733,CARMEL,IN,39.96,-86.1
1734,MOREHEAD,KY,38.19,-83.44
1735,HARLAN,KY,36.84,-83.32
1736,GEORGETOWN,KY,38.2,-84.55
1737,TOMPKINSVILLE,KY,36.7,-85.69
1738,LOUISA,KY,38.1,-82.6
1739,JACKSON,KY,37.55,-83.37
1740,CROWLEY,LA,30.21,-92.37
1741,FORT WASHINGTON,MD,38.73,-77
1742,SOUTHBRIDGE,MA,42.08,-72.03
1743,FAIRMONT,MN,43.64,-94.45
1744,NEW ALBANY,MS,34.49,-89.02
1745,HAYTI,MO,36.23,-89.74
1746,MOBERLY,MO,39.41,-92.43
1747,CLINTON,MO,38.37,-93.76
1748,PAPILLION,NE,41.15,-96.04
1749,FALLON,NV,39.5,-118.29
1750,SECAUCUS,NJ,40.78,-74.06
1751,HOBBS,NM,32.73,-103.16
1752,NEWARK,NY,43.04,-77.09
1753,MEDINA,NY,43.21,-78.38
1754,BATAVIA,NY,42.99,-78.18
1755,OLEAN,NY,42.08,-78.43
1756,CORTLAND,NY,42.6,-76.18
1757,ROME,NY,43.21,-75.47
1758,OSWEGO,NY,43.45,-76.5
1759,MASSENA,NY,44.92,-74.89
1760,LONG BEACH,NY,40.58,-73.65
1761,GLOVERSVILLE,NY,43.05,-74.34
1762,TIFFIN,OH,41.11,-83.17
1763,COSHOCTON,OH,40.26,-81.84
1764,CLAREMORE,OK,36.31,-95.61
1765,POTEAU,OK,35.04,-94.63
1766,CUSHING,OK,35.97,-96.76
1767,PURCELL,OK,35.01,-97.37
1768,STILWELL,OK,35.81,-94.63
1769,LOCK HAVEN,PA,41.13,-77.45
1770,BERWICK,PA,41.05,-76.24
1771,TUNKHANNOCK,PA,41.53,-75.94
1772,PAWTUCKET,RI,41.87,-71.37
1773,CHESTER,SC,34.7,-81.21
1774,BROWNSVILLE,TN,35.59,-89.25
1775,MC KENZIE,TN,36.13,-88.51
1776,LIVINGSTON,TN,36.38,-85.32
1777,MARSHALL,TX,32.53,-94.35
1778,EAGLE PASS,TX,28.7,-100.49
1779,CLARKSVILLE,TX,33.61,-95.05
1780,WEATHERFORD,TX,32.75,-97.77
1781,CARTHAGE,TX,32.15,-94.33
1782,STEPHENVILLE,TX,32.21,-98.21
1783,MESQUITE,TX,32.76,-96.59
1784,ENNIS,TX,32.33,-96.62
1785,SAINT ALBANS,VT,44.81,-73.08
1786,NORTON,VA,36.93,-82.62
1787,ROCKY MOUNT,VA,36.99,-79.89
1788,PORTAGE,WI,43.54,-89.46
1789,FRANKLIN,WI,42.88,-88
1790,GARDNER,MA,42.58,-71.98
1791,CANTON,MS,32.61,-90.03
1792,KILLEEN,TX,31.09,-97.71
1793,WEDOWEE,AL,33.3,-85.48
1794,HOLLYWOOD,CA,34.1,-118.32
1795,GLENDORA,CA,34.11,-117.85
1796,LA PALMA,CA,33.85,-118.04
1797,NORTH PROVIDENC,RI,41.82,-71.41
1798,NEWPORT,TN,35.96,-83.19
1799,GREENPORT,NY,41.1,-72.36
1800,RIDGECREST,CA,35.55,-117.67
1801,HOMESTEAD,FL,25.46,-80.45
1802,CALDWELL,ID,43.66,-116.63
1803,PRESQUE ISLE,ME,46.68,-67.98
1804,WEST BRANCH,MI,44.27,-84.23
1805,ASHLAND,OH,40.86,-82.31
1806,DUBLIN,OH,40.11,-83.13
1807,COALDALE,PA,40.82,-75.91
1808,SMYRNA,TN,35.98,-86.51
1809,PAYSON,UT,40.01,-111.73
1810,AMERICAN FORK,UT,40.39,-111.78
1811,RIVERTON,UT,40.47,-112
1812,LARAMIE,WY,41.31,-105.58
1813,OZARK,AL,31.43,-85.64
1814,TALLASSEE,AL,32.53,-85.89
1815,MOULTON,AL,34.48,-87.28
1816,GENEVA,AL,31.03,-85.87
1817,BLYTHEVILLE,AR,35.93,-89.92
1818,NEWPORT,AR,35.62,-91.23
1819,NOVATO,CA,38.13,-122.56
1820,HUNTINGTON BEAC,CA,33.72,-118
